PM2.5,PM10,NOx,NH3,CO,SO2,O3
129.58,95.68,45.4,15.85,21.23,17.66,34.42
100.57,95.68,24.33,15.85,7.56,38.76,38.83
130.34,95.68,23.72,15.85,7.14,52.07,29.05
53.24,95.68,23.34,15.85,8.05,36.23,21.58
42,95.68,21.8,15.85,10.44,17,25.5
50.1,95.68,22.5,15.85,9.46,30.67,12.91
83.69,95.68,27.15,15.85,10.89,41.12,35.61
38.88,95.68,17.74,15.85,2.18,26.4,12.47
46.89,95.68,18.49,15.85,2.96,41.96,10.74
70.96,95.68,19.28,15.85,4.12,23.67,16.01
53.66,95.68,18.06,15.85,4.23,14.46,45.64
45.49,95.68,17.1,15.85,4.26,12.85,71.85
60.86,95.68,21.42,15.85,5.27,14.91,41.19
51.93,95.68,31.64,15.85,13.71,15.33,12.88
77.87,95.68,23,15.85,6.67,46.82,16.67
57.59,95.68,20.42,15.85,5.6,41.68,25.51
77.22,95.68,21.13,15.85,7.02,71.97,9.56
45.29,95.68,19.66,15.85,7.25,18.64,6.32
103.78,95.68,19.86,15.85,6.36,7.76,15.27
25.14,95.68,24.74,15.85,6.01,38.05,38.52
87.03,95.68,25.53,15.85,8.05,23.84,48.22
89.6,95.68,25.9,15.85,6.59,48.05,44.78
80.69,95.68,22.25,15.85,6.86,39.85,32.65
44.75,95.68,24.29,15.85,7.76,9.89,8.07
38.11,95.68,19.03,15.85,7.41,3.13,6.69
45.5,95.68,24.15,15.85,8.56,0.76,3.82
36.98,95.68,19.74,15.85,8.21,0.52,5.17
43.58,95.68,21.58,15.85,8.26,1.02,7.56
45.49,95.68,24.53,15.85,9.63,0.81,2.94
38.06,95.68,27.25,15.85,8.67,1.05,4.63
45.41,95.68,29.9,15.85,9.35,0.74,4.5
37.71,95.68,24.8,15.85,8.54,0.87,4.6
32.37,95.68,21.89,15.85,7.53,2.17,12.17
34.74,95.68,21.11,15.85,7.59,4.11,12.22
32.56,95.68,21.25,15.85,7.34,4.04,11.85
29.28,95.68,19.23,15.85,7.55,4.01,12.64
20.46,95.68,17.76,15.85,7.15,5.62,12.7
26.07,95.68,19.06,15.85,7.99,4.1,10.57
21.43,95.68,18.62,15.85,7.45,4.99,7.38
11.91,95.68,17.44,15.85,7.34,10.86,5.47
57.75,95.68,18.36,15.85,8.68,12.28,3.06
66.39,95.68,21.36,15.85,8.58,11.09,4.96
62.61,95.68,18.98,15.85,9.15,12.31,6.44
47.5,95.68,17.59,15.85,8.07,13.91,7.28
111.8,95.68,20.74,15.85,9.23,5.27,5.99
30,95.68,22.64,15.85,8.87,8.09,6.31
4.66,95.68,20.36,15.85,9.01,7.31,6.38
48.72,95.68,21.5,15.85,9.56,5.72,6.61
49.7,95.68,19.23,15.85,9.43,6.78,6.42
48.1,95.68,17.57,15.85,8.03,9.33,7.6
47.43,95.68,17.56,15.85,8.11,7.93,7.08
51.74,95.68,21.28,15.85,8.91,10.05,5.78
42.68,95.68,20.82,15.85,9.74,10.87,4.44
38.45,95.68,18.35,15.85,10.55,10.28,3.24
46.69,95.68,11.64,15.85,11.48,10.25,5.76
55.27,95.68,11.66,15.85,11.55,12.7,6.55
149.03,95.68,11.65,15.85,11.49,10.07,7.27
86.57,95.68,11.64,15.85,11.47,11.09,6.53
111.77,95.68,11.53,15.85,11.3,7.73,4.67
